location_id,original_name,latitude,longitude,province,region
2827392,มหาวิทยาลัยราชภัฎภูเก็ต 1,7.909639025949969,98.38698699663972,Phuket,South
2827393,มหาวิทยาลัยราชภัฎภูเก็ต 2,7.913188350254121,98.38594629958502,Phuket,South
2827394,หอดูดาวสงขลา,7.158502558743491,100.6113217561578,Songkhla,South
2827395,โรงเรียนแวงพิทยาคม,17.42769650946683,103.61873634019608,Sakon Nakhon,Northeast
2827396,โรงเรียนเสริมงามวิทยาคม,18.050391606682883,99.23346803905622,Lampang,North
2827398,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี 1,9.085112597568509,99.36435841579191,Surat Thani,South
2832266,โรงเรียนบีกริม,13.638638923364107,102.39096382050207,Sa Kaeo,East
2832600,โรงเรียนเสริมขวาวิทยา,18.129044618992815,99.20212951372334,Lampang,North
2843623,โรงเรียนบ้านบึงเนียมบึงใคร่นุ่นท่าหิน,16.437090220329377,102.94489222691979,Khon Kaen,Northeast
2843624,โรงเรียนทุ่งต้นปีก,8.265338492002899,98.80838059044652,Krabi,South
2843625,โรงเรียนศรีสังวาลย์เชียงใหม่,18.91706462015052,98.99813940307875,Chiang Mai,North
2843627,โรงเรียนราชประชานุเคราะห์ 37,8.267128021403797,99.04695559639762,Krabi,South
2843628,โรงเรียนบ้านหนองช้าง,15.771612780842087,103.62445122052046,Roi Et,Northeast
2843630,โรงเรียนบ้านละทาย,15.179903455765555,104.58213514232098,Si Sa Ket,Northeast
2843631,โรงเรียนเทศบาล1,15.108579666315347,104.33112649176883,Si Sa Ket,Northeast
2843632,โรงเรียนบ้านท่ามะพร้าว,7.832802520610627,99.1719853716311,Krabi,South
2843713,โรงเรียนโสตศึกษา สุรินทร์,14.708486039648943,103.42312321153788,Surin,Northeast
2843720,โรงเรียนราชประชานุเคราะห์ 56,18.55614310402829,100.71911569413429,Nan,North
2843723,โรงเรียนชุมชนวัดเขาไม้แก้ว,12.949917877088192,101.03639622869056,Chon Buri,East
2843771,โรงเรียนบ้านน้อยห้วยรินวิทยา,18.02707441554263,98.66349112279283,Chiang Mai,North
2845048,โรงเรียนบ้านคลองตัน ,13.672005063516075,100.14150520971182,Samut Sakhon,Central
2845347,โรงเรียนบ้านโคกขามโนนสมบูรณ์,14.817848930975666,102.88950559496688,Buri Ram,Northeast
2846870,โรงเรียนบ้านกรูดหนองซำ,15.16195622435345,103.4473178782824,Surin,Northeast
2847183,โรงเรียนบ้านน้ำอ้อมรัฐประชานุสรณ์,14.656188098453697,104.6479380461637,Si Sa Ket,Northeast
2847189,โรงเรียนสามขาท่าหาดยาววิทยา,15.467239994182787,103.89807727980353,Roi Et,Northeast
2847190,โรงเรียนบ้านบ้องตี้,14.07163576918484,98.99364301926609,Kanchanaburi,West
2847191,โรงเรียนบ้านกาศประชานุเคราะห์,18.082763142301825,100.17276032284325,Phrae,North
2847192,โรงเรียนวรดิตถ์วิทยาประสูทน์,14.490412714080469,100.43669131922096,Ang Thong,Central
2847193,โรงเรียนเทศบาล3,15.132768807414523,104.31156419354186,Si Sa Ket,Northeast
2847196,โรงเรียนวัดกระเฉท,12.75573100747808,101.22385802114438,Rayong,East
2847198,โรงเรียนบ้านหนองป่าก่อ,20.172104137137712,100.11495065829588,Chiang Rai,North
2847199,"โรงเรียนบ้านกวางงอย ""รัฐราษฎ์อำนยวิทย์""",14.924239991191783,102.83397082105887,Buri Ram,Northeast
2847200,โรงเรียนห้วยลึกวิทยา,18.161524900880167,103.37388227367104,Bueng Kan,Northeast
2847201,โรงเรียนชุมชนตำบลนายาง,17.914424417093098,99.30777676331053,Lampang,North
2847202,โรงเรียนศรีสังวาลย์ ขอนแก่น,16.474516060555143,102.84070593309495,Khon Kaen,Northeast
